name,lat,lon,pass_per_month
Авиамоторная,55.7525349,37.7200631,2321348
Автозаводская,55.7073446,37.6577684,411684
Академическая,55.6878077,37.5735148,2446938
Александровский сад,55.7524027,37.6086825,1471040
Алексеевская,55.8087525,37.6389375,2318588
Алма-Атинская,55.6327995,37.765935,5567453
Алтуфьево,55.8979224,37.5873584,2739240
Аминьевская,55.6971748,37.4649703,2259323
Аннино,55.5825315,37.5965311,1687236
Арбатская,55.752095,37.6069779,430992
Аэропорт,55.8003966,37.5331501,2542520
Аэропорт Внуково,55.607309,37.2872762,619976
Бабушкинская,55.8696342,37.6641097,3607614
Багратионовская,55.7437316,37.497737,1170452
Баррикадная,55.7611309,37.5793093,1657624
Бауманская,55.7730392,37.6805494,3972498
Беговая,55.7737161,37.5466565,2414049
Беломорская,55.8649644,37.4748773,1978343
Белорусская,55.776702,37.583575,3191022
Беляево,55.6427774,37.5256804,2485221
Бибирево,55.8838707,37.6035539,2143543
Библиотека имени Ленина,55.7512323,37.6101708,0
Битцевский парк,55.6002393,37.5563789,139962
Борисово,55.6333039,37.7437524,852160
Боровицкая,55.7509718,37.607057,539871
Боровское шоссе,55.6477505,37.3704228,423434
Ботанический сад,55.8448445,37.6382462,1704438
Братиславская,55.659739,37.7506688,2770412
Бульвар Дмитрия Донского,55.5692452,37.5768693,4079548
Бульвар Рокоссовского,55.8146824,37.73434,692778
Бунинская аллея,55.5381467,37.5165467,1445812
Бутырская,55.8133726,37.6025285,1197806
ВДНХ,55.8209553,37.6412006,4933004
Варшавская,55.6533344,37.6195024,2482481
Верхние Лихоборы,55.8561131,37.5613445,1075120
Владыкино,55.8471808,37.5899119,686273
Водный стадион,55.8400589,37.4867105,2994416
Войковская,55.819052,37.4980181,3530063
Волгоградский проспект,55.7252386,37.6868906,1483228
Волжская,55.6908257,37.7531007,1139169
Волоколамская,55.8355134,37.3822424,1481270
Воробьёвы горы,55.7103322,37.559289,801340
Воронцовская,55.6588351,37.5394795,1284912
Выхино,55.7156444,37.8179229,4738256
Генерала Тюленева,55.6262046,37.4857715,422783
Говорово,55.6595519,37.417239,926914
Давыдково,55.7151436,37.4517426,1013327
Деловой центр,55.7500874,37.5413666,316820
Динамо,55.7897397,37.558208,2041528
Дмитровская,55.8065606,37.5819074,2560024
Добрынинская,55.7291072,37.6244196,1587990
Домодедовская,55.6108547,37.7187413,4348516
Достоевская,55.7815096,37.6150933,1005962
Дубровка,55.7192085,37.6755406,574181
Жулебино,55.685438,37.8562939,1882881
Зюзино,55.6557778,37.5735524,1845328
Зябликово,55.6122352,37.745179,818442
Измайловская,55.7877328,37.7816023,1413964
Калужская,55.657091,37.5405263,1962354
Кантемировская,55.6357353,37.6565408,2371057
Каховская,55.6529025,37.5984294,1479136
Каширская,55.6549932,37.6488095,2649647
Киевская,55.7436835,37.5656452,2607214
Китай-город,55.7556518,37.6335649,4313558
Кленовый бульвар,55.6744865,37.6807341,616314
Кожуховская,55.7075865,37.6846176,1525014
Коломенская,55.6784809,37.6639248,3002135
Коммунарка,55.574632,37.4679907,304483
Комсомольская,55.7752083,37.6560339,6100637
Коньково,55.6331469,37.5189769,2030148
Корниловская,55.5983956,37.4789891,329809
Косино,55.7034168,37.8510317,410814
Красногвардейская,55.613694,37.7444351,1488913
Краснопресненская,55.761185,37.577329,1438265
Красносельская,55.780356,37.6676557,1332462
Кропоткинская,55.7454302,37.603807,1939334
Крылатское,55.7565949,37.4081393,2182606
Кузьминки,55.7056021,37.7657844,4037901
Кунцевская,55.7306795,37.4460224,805652
Курская,55.7571978,37.6593319,3764465
Кутузовская,55.7399906,37.5343862,648362
Ленинский проспект,55.7076167,37.5862116,2842140
Лермонтовский проспект,55.7016254,37.8519732,1270561
Лесопарковая,55.5820975,37.5768918,577800
Лефортово,55.7647338,37.7067382,980059
Лианозово,55.898115,37.544663,1277184
Ломоносовский проспект,55.7071424,37.5162362,1075358
Лубянка,55.7598733,37.6278556,2011956
Лухмановская,55.70851,37.9010164,1399554
Люблино,55.6757211,37.7619581,3107104
Марксистская,55.7413164,37.6535345,1594144
Марьина Роща,55.7955236,37.6163058,669543
Марьино,55.6500158,37.7431467,2319141
Маяковская,55.7701709,37.5950872,2593618
Медведково,55.8871767,37.66155,3951366
Менделеевская,55.7808046,37.6020501,1806054
Минская,55.7247884,37.4968443,661160
Митино,55.8457543,37.3622259,1819930
Мичуринский проспект,55.6893341,37.4828443,976006
Мнёвники,55.7611845,37.471405,278876
Молодёжная,55.7407572,37.4169385,3121387
Москва-Сити,55.7483053,37.5342309,610790
Нагатинская,55.6829727,37.6224144,2770328
Нагатинский Затон,55.6843314,37.7043027,538397
Нагорная,55.6719433,37.6102741,1369263
Народное Ополчение,55.7757351,37.4857311,1818420
Нахимовский проспект,55.6626511,37.6056223,1483317
Некрасовка,55.7028909,37.9281784,4223888
Нижегородская,55.7319234,37.7299863,3151602
Новаторская,55.6700672,37.5217748,871098
Новогиреево,55.751769,37.8167454,4649244
Новокосино,55.7450867,37.8637729,3975799
Новокузнецкая,55.7414344,37.6292018,2217368
Новомосковская,55.5605675,37.4680062,888063
Новопеределкино,55.639625,37.3551039,1278334
Новослободская,55.7798525,37.6034748,2256309
Новоясеневская,55.6009942,37.554139,506850
Новые Черёмушки,55.6702787,37.5546984,2484734
Озёрная,55.6705052,37.4487297,1311700
Окружная,55.8460256,37.5738294,825722
Окская,55.718342,37.7817628,794562
Октябрьская,55.7304961,37.6109093,945686
Ольховая,55.568621,37.4593593,673508
Орехово,55.6131433,37.6949724,1329412
Отрадное,55.8631775,37.6046508,3646746
Охотный ряд,55.7577671,37.6164974,3783168
Павелецкая,55.7304982,37.6378407,3873286
Парк Победы,55.7365232,37.518219,244918
Партизанская,55.788503,37.7509929,1361769
Первомайская,55.7947265,37.7993959,2608694
Перово,55.7511973,37.7864823,2781502
Петровский парк,55.7919222,37.5570925,1450850
Петровско-Разумовская,55.8346874,37.5748248,1616126
Печатники,55.6934907,37.726952,749766
Пионерская,55.7359875,37.4671358,444771
Планерная,55.8606544,37.4365264,2913628
Площадь Ильича,55.7471964,37.6831971,1439023
Площадь Революции,55.7566536,37.6218637,15024090
Полежаевская,55.7775087,37.5192899,2114854
Полянка,55.7381678,37.6171996,1207552
Потапово,55.5526401,37.4926212,1192928
Пражская,55.6123741,37.6045238,3535946
Преображенская площадь,55.7963698,37.7153466,3156215
Прокшино,55.5862179,37.4338591,640052
Пролетарская,55.731857,37.6658787,2328238
Проспект Вернадского,55.6772263,37.5060642,787210
Проспект Мира,55.7808506,37.6319812,1689694
Профсоюзная,55.6779304,37.5629043,2322490
Пушкинская,55.7654281,37.6074165,3205571
Пыхтино,55.6245026,37.295668,735828
Пятницкое шоссе,55.856143,37.3542024,1333603
Раменки,55.6975607,37.4985423,1444022
Рассказовка,55.6340295,37.3350858,1378392
Речной вокзал,55.8550132,37.4762129,1874692
Рижская,55.7937015,37.6364976,928388
Римская,55.7463418,37.683251,1185371
Румянцево,55.6329538,37.4415854,873596
Рязанский проспект,55.716947,37.7933151,2009072
Савёловская,55.7924879,37.5888159,2260456
Саларьево,55.621922,37.4241868,2749130
Свиблово,55.8552129,37.652706,1794888
Севастопольская,55.6526736,37.598434,652131
Селигерская,55.8666119,37.5471803,2132709
Семёновская,55.7833072,37.7212818,2229482
Серпуховская,55.7279529,37.6248289,1715546
Славянский бульвар,55.7295963,37.4707878,22008292
Смоленская,55.747394,37.5818245,628318
Сокол,55.805267,37.5150534,2639814
Сокольники,55.7888168,37.6802525,1740392
Солнцево,55.649569,37.3911002,1545528
Спартак,55.8183044,37.4357519,653574
Спортивная,55.7233833,37.5642133,1742418
Сретенский бульвар,55.7669878,37.6400865,635715
Стахановская,55.7270183,37.7532484,645820
Строгино,55.8037077,37.4031235,2070515
Студенческая,55.7388299,37.5484101,454718
Сухаревская,55.7729551,37.6312038,1511096
Сходненская,55.8504805,37.4397738,3632086
Таганская,55.740465,37.6518996,984350
Тверская,55.7648953,37.606313,0
Театральная,55.7575071,37.6191912,0
Текстильщики,55.7088138,37.7315039,5455796
Терехово,55.748029,37.4596435,555310
Технопарк,55.6936232,37.6644353,1584060
Тимирязевская,55.8171256,37.5763885,54340
Третьяковская,55.7409166,37.6273436,2258762
Тропарёво,55.645857,37.4725258,1272954
Трубная,55.7691136,37.6195511,1343598
Тульская,55.7086649,37.6228172,2446510
Тургеневская,55.766492,37.637467,1547058
Тушинская,55.8265293,37.4369761,3183645
Тютчевская,55.61905,37.4810854,230106
Улица 1905 года,55.7648611,37.5613413,3211535
Улица Горчакова,55.5416949,37.530718,718116
Улица Скобелевская,55.5481082,37.5546254,1456156
Улица Старокачаловская,55.5689553,37.5766521,0
Университет,55.6926632,37.5332847,2520108
Физтех,55.9216617,37.5465759,965946
Фили,55.7461266,37.5148273,1366446
Филёвский парк,55.7395085,37.4833717,685328
Фонвизинская,55.822916,37.5876371,977756
Фрунзенская,55.7268793,37.57833,2228565
Ховрино,55.8781525,37.4808537,3423488
Хорошёвская,55.7766946,37.5191367,1136278
ЦСКА,55.786561,37.5332007,2490932
Царицыно,55.6214814,37.669238,4268882
Цветной бульвар,55.7708721,37.6179101,1659876
Черкизовская,55.8038807,37.7450321,1405132
Чертановская,55.640455,37.60669,2455955
Чеховская,55.7648327,37.609087,1627243
Чистые пруды,55.7658711,37.639028,1494598
Чкаловская,55.7567019,37.6569978,1496131
Шаболовская,55.7199872,37.6076956,1813414
Шипиловская,55.6210274,37.7436392,1070546
Шоссе Энтузиастов,55.7575686,37.7494868,585426
Щукинская,55.8084608,37.4647008,3204572
Щёлковская,55.8093389,37.7986397,5165430
Электрозаводская,55.7817132,37.7037878,2271634
Юго-Восточная,55.7050362,37.8189764,1109690
Юго-Западная,55.6636469,37.4832189,3794574
Южная,55.622256,37.6092188,1738326
Ясенево,55.6063062,37.533407,2329776
Яхромская,55.8798821,37.5454418,1462584
